No. Pesanan,Status Pesanan,Status Pembatalan/ Pengembalian,No. Resi,Opsi Pengiriman,Antar ke counter/ pick-up,Pesanan Harus Dikirimkan Sebelum (Menghindari keterlambatan),Waktu Pengiriman Diatur,Waktu Pesanan Dibuat,Waktu Pembayaran Dilakukan,SKU Induk,Nama Produk,Nomor Referensi SKU,Nama Variasi,Harga Awal,Harga Setelah Diskon,Jumlah,Total Harga Produk,Total Diskon,Diskon Dari Penjual,Diskon Dari Shopee,Berat Produk,Jumlah Produk di Pesan,Total Berat,Voucher Ditanggung Penjual,Cashback Koin,Voucher Ditanggung Shopee,Paket Diskon,Paket Diskon (Diskon dari Shopee),Paket Diskon (Diskon dari Penjual),Potongan Koin Shopee,Diskon Kartu Kredit,Ongkos Kirim Dibayar oleh Pembeli,Total Pembayaran,Perkiraan Ongkos Kirim,Catatan dari Pembeli,Catatan,city,user_id
210413VXPWSJRM,Selesai,,JP4415121068,"Reguler
J&T Express",Pickup,2021-04-15 13:37,2021-04-13 16:12,2021-04-13 13:37,2021-04-13 13:37,,"miniletics Power High Neck Bra, with A/B cup Sports Bra",PWRHigh_Magenta_M,"Magenta,M",Rp 174500.0,Rp 174500.0,1,Rp 174500.0,Rp 0.0,Rp 0.0,Rp 0.0,300 gr,2,600 gr,Rp 7500.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,500,Rp 0.0,Rp 2000.0,Rp 376574.0,Rp 27000.0,,,Tarakan,238
210413VXPWSJRM,Selesai,,JP4415121068,"Reguler
J&T Express",Pickup,2021-04-15 13:37,2021-04-13 16:12,2021-04-13 13:37,2021-04-13 13:37,,"miniletics Motion Legging Full 24"" Legging Olahraga Wanita",MOLFull_MauvePink_M,"Mauve Pink,M",Rp 244500.0,Rp 207824.0,1,Rp 207824.0,Rp 36674.0,Rp 36674.0,Rp 0.0,300 gr,2,600 gr,Rp 7500.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,500,Rp 0.0,Rp 2000.0,Rp 376574.0,Rp 27000.0,,,Tarakan,238
210407CUT4TK01,Selesai,,002518572932,"Reguler
SiCepat REG",Pickup,2021-04-09 04:03,2021-04-07 19:21,2021-04-07 04:03,2021-04-07 04:03,,"miniletics Feel Free Basic Crop Tank, Light Support with A/B cup Tank Top Olahraga Wanita",FFT_White_M,"White,M",Rp 134000.0,Rp 134000.0,1,Rp 134000.0,Rp 0.0,Rp 0.0,Rp 0.0,300 gr,1,300 gr,Rp 6700.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,0,Rp 0.0,Rp 17000.0,Rp 144386.0,Rp 17000.0,,,Batam,72
210413VVVTYBWH,Selesai,,10001108512615,"Reguler
Anteraja",Pickup,2021-04-15 13:05,2021-04-13 14:40,2021-04-13 13:05,2021-04-13 13:05,,"miniletics Alleviate Bra, with A/B bra cup Sports Bra",ALB_White_S,"White,S",Rp 169500.0,Rp 144074.0,1,Rp 144074.0,Rp 25424.0,Rp 25424.0,Rp 0.0,300 gr,1,300 gr,Rp 0.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,7500,Rp 0.0,Rp 0.0,Rp 140324.0,Rp 9000.0,,,Tangerang,182
2104179MYMU901,Selesai,,002522948156,"Reguler
SiCepat REG",Pickup,2021-04-20 11:22,2021-04-19 15:32,2021-04-17 11:09,2021-04-17 11:22,,"miniletics Feel Free Basic Crop Tank, Light Support with A/B cup Tank Top Olahraga Wanita",FFT_White_M,"White,M",Rp 134000.0,Rp 129000.0,1,Rp 129000.0,Rp 5000.0,Rp 5000.0,Rp 0.0,300 gr,2,600 gr,Rp 0.0,Rp 0.0,Rp 0.0,Y,Rp 0.0,Rp 10000.0,0,Rp 0.0,Rp 0.0,Rp 258500.0,Rp 9000.0,Tolong dikirim produk dlm keadaan baik ya. Terimakasih.,,Bekasi,70
2104179MYMU901,Selesai,,002522948156,"Reguler
SiCepat REG",Pickup,2021-04-20 11:22,2021-04-19 15:32,2021-04-17 11:09,2021-04-17 11:22,,"miniletics Feel Free Basic Crop Tank, Light Support with A/B cup Tank Top Olahraga Wanita",FFT_CherryPink_M,"Cherry Pink,M",Rp 134000.0,Rp 129000.0,1,Rp 129000.0,Rp 5000.0,Rp 5000.0,Rp 0.0,300 gr,2,600 gr,Rp 0.0,Rp 0.0,Rp 0.0,Y,Rp 0.0,Rp 10000.0,0,Rp 0.0,Rp 0.0,Rp 258500.0,Rp 9000.0,Tolong dikirim produk dlm keadaan baik ya. Terimakasih.,,Bekasi,70
210413VW0M9BGW,Selesai,,10001108512372,"Reguler
Anteraja",Pickup,2021-04-15 13:25,2021-04-13 15:08,2021-04-13 13:07,2021-04-13 13:25,,"miniletics Motion Legging Full 24"" Legging Olahraga Wanita",MOLFull_MauvePink_M,"Mauve Pink,M",Rp 244500.0,Rp 207824.0,1,Rp 207824.0,Rp 36674.0,Rp 36674.0,Rp 0.0,300 gr,1,300 gr,Rp 7500.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,714,Rp 0.0,Rp 0.0,Rp 200468.0,Rp 9000.0,,,Bekasi,5
2104142UPRHT4X,Selesai,,002521454234,"Reguler
SiCepat REG",Pickup,2021-04-16 18:24,2021-04-15 15:20,2021-04-14 18:21,2021-04-14 18:24,,"miniletics Alleviate Bra, with A/B bra cup Sports Bra",ALB_White_M,"White,M",Rp 169500.0,Rp 163914.0,1,Rp 163914.0,Rp 5584.0,Rp 5584.0,Rp 0.0,300 gr,2,600 gr,Rp 0.0,Rp 0.0,Rp 0.0,Y,Rp 0.0,Rp 10000.0,0,Rp 0.0,Rp 0.0,Rp 294000.0,Rp 10000.0,,,Badung,65
2104142UPRHT4X,Selesai,,002521454234,"Reguler
SiCepat REG",Pickup,2021-04-16 18:24,2021-04-15 15:20,2021-04-14 18:21,2021-04-14 18:24,,"miniletics Feel Free Basic Crop Tank, Light Support with A/B cup Tank Top Olahraga Wanita",FFT_Blue_M,"Blue,M",Rp 134000.0,Rp 129584.0,1,Rp 129584.0,Rp 4414.0,Rp 4414.0,Rp 0.0,300 gr,2,600 gr,Rp 0.0,Rp 0.0,Rp 0.0,Y,Rp 0.0,Rp 10000.0,0,Rp 0.0,Rp 0.0,Rp 294000.0,Rp 10000.0,,,Badung,65
21042632BC394U,Selesai,,IN-2-0IUPCRH3H1KA1YR28FZ4,"Instant
GrabExpress Instant",Pickup,2021-04-29 10:06,2021-04-26 14:58,2021-04-26 10:06,2021-04-26 10:06,,"miniletics Alleviate Bra, with A/B bra cup Sports Bra",ALB_White_S,"White,S",Rp 169500.0,Rp 152550.0,1,Rp 152550.0,Rp 16950.0,Rp 16950.0,Rp 0.0,300 gr,1,300 gr,Rp 0.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,0,Rp 0.0,Rp 0.0,Rp 152550.0,Rp 13000.0,,,Surabaya,47
2104251V3R1PEP,Selesai,,JP8201185420,"Reguler
J&T Express",Pickup,2021-04-29 22:45,2021-04-26 18:23,2021-04-25 22:42,2021-04-25 22:45,,"miniletics Ready Anywhere Crop 22"" Celana Wanita",RACrop_LavenderGrey_M,"Lavender Grey,M",Rp 249500.0,Rp 218664.0,1,Rp 218664.0,Rp 30834.0,Rp 30834.0,Rp 0.0,300 gr,2,600 gr,Rp 0.0,Rp 0.0,Rp 0.0,Y,Rp 0.0,Rp 10000.0,0,Rp 0.0,Rp 0.0,Rp 371600.0,Rp 7500.0,,,Jakarta Selatan,35
2104251V3R1PEP,Selesai,,JP8201185420,"Reguler
J&T Express",Pickup,2021-04-29 22:45,2021-04-26 18:23,2021-04-25 22:42,2021-04-25 22:45,,"miniletics Power High Neck Bra, with A/B cup Sports Bra",PWRHigh_Magenta_S,"Magenta,S",Rp 174500.0,Rp 152934.0,1,Rp 152934.0,Rp 21564.0,Rp 21564.0,Rp 0.0,300 gr,2,600 gr,Rp 0.0,Rp 0.0,Rp 0.0,Y,Rp 0.0,Rp 10000.0,0,Rp 0.0,Rp 0.0,Rp 371600.0,Rp 7500.0,,,Jakarta Selatan,35
