,Order_Id,Invoice,Payment_Date,Order_Status,Product_Id,Product_Name,Quantity,Stock_Keeping_Unit_(Sku),Notes,Price,Discount_Amount,Subsidi_Amount,Courier,Shipping_Price_With_Fee,Insurance,Total_Shipping_Fee,Total_Amount,AWB,Jenis_Layanan,Bebas_Ongkir,Warehouse_Origin,Campaign_Name,City,User_Id,SKU_Induk,Category,Full Name
426,769131600,INV/20210420/MPL/1186220075,2021-04-20 15:16:39,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1719458691,"miniletics Breezy Tank Tank Top Wanita - Cream, S",1,BRTank_Cream_S,Tidak ada,169500,0,0,AnterAja(Reguler),9500,0,9500,179000,10001140336660,Unknown,Yes,Shop Location,Unknown,Sukoharjo,261,brtank,tank top,Breezy Tank
427,769163359,INV/20210420/MPL/1186298272,2021-04-20 15:51:24,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1005897446,"miniletics Motion Legging Capri 3/4 19"" Legging Olahraga Wanita - Green,M",1,MOL34_Green_M,Tidak ada,211050,23450,0,JNE(OKE),8000,0,8000,439100,TJE1662237576224,Unknown,Unknown,Shop Location,Sale,Denpasar,244,mol34,legging,Motion Legging Capri 3/4
428,769163359,INV/20210420/MPL/1186298272,2021-04-20 15:51:24,"Transaksi selesai..
Dana akan diteruskan ke penjual.",987965986,"miniletics Motion Legging Full 24"" Legging Olahraga Wanita - Black,M",1,MOLFull_Black_M,Tidak ada,220050,24450,0,JNE(OKE),8000,0,8000,439100,TJE1662237576224,Unknown,Unknown,Shop Location,Sale,Denpasar,244,molfull,legging,Motion Legging Full
429,769417105,INV/20210420/MPL/1186917588,2021-04-20 21:51:20,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1719458689,"miniletics Breezy Tank Tank Top Wanita - Black, M",1,BRTank_Black_M,Tidak ada,169500,0,0,AnterAja(Reguler),7500,0,7500,401550,10001143670914,Unknown,Yes,Shop Location,Unknown,Semarang,153,brtank,tank top,Breezy Tank
430,769417105,INV/20210420/MPL/1186917588,2021-04-20 21:51:20,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1338455400,"miniletics Ready Anywhere Crop 22"" Celana Wanita - Grey Sage,M",1,RACrop_GreySage_M,Tidak ada,224550,24950,0,AnterAja(Reguler),7500,0,7500,401550,10001143670914,Unknown,Yes,Shop Location,Sale,Semarang,153,racrop,pants,Ready Anywhere Crop
431,769675738,INV/20210421/MPL/1187566616,2021-04-21 09:19:58,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1338151459,"miniletics Pure Tee-nergy (Long Sleeve) Baju Olahraga Wanita - Black,M",1,PureLong_Black_M,Tidak ada,175050,19450,0,AnterAja(Reguler),7500,0,7500,182550,10001146281630,Unknown,Yes,Shop Location,Sale,Jakarta selatan,218,purelong,long sleeve,Pure Tee-nergy (Long Sleeve)
432,769674436,INV/20210421/MPL/1187563375,2021-04-21 09:28:15,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1237733173,"miniletics Motion Shorts 6"" Celana Olahraga Wanita - Black Camo,S",1,MOLShorts_BlackCamo_S,Tidak ada,157050,17450,0,AnterAja(Reguler),7500,0,7500,339824,10001146280998,Unknown,Yes,Shop Location,Sale,Tangerang,170,molshorts,shorts,"Motion Shorts 4"""
433,769674436,INV/20210421/MPL/1187563375,2021-04-21 09:28:15,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1696292981,"miniletics Celana Olahraga Wanita Motion Super High-Rise Shorts 10"" - Crimson, S",1,MSHRShorts_Crimson_S,Tidak ada,175274,9224,0,AnterAja(Reguler),7500,0,7500,339824,10001146280998,Unknown,Yes,Shop Location,Sale,Tangerang,170,mshrshorts,shorts,"Motion Super High Rise Shorts 10"""
434,769366805,INV/20210420/MPL/1186793458,2021-04-21 11:10:03,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1043879034,"miniletics Alleviate Bra, with A/B Cup Sports Bra - Black,M",1,ALB_Black_M,Tidak ada,152550,16950,0,JNE(YES),20500,0,20500,173050,TJX1160220081824,Next Day,Unknown,Shop Location,Sale,Jakarta utara,219,alb,sports bra,"Alleviate Bra, Support with A/B bra cup"
435,769933168,INV/20210421/MPL/1188209956,2021-04-21 13:13:07,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1237450795,"miniletics Motion Shorts 10"" Celana Olahraga Wanita - Midnight Blue,M",1,MOLShorts_MidnightBlue_M,Tidak ada,166050,18450,0,AnterAja(Reguler),7500,0,7500,330600,10001146281160,Unknown,Yes,Shop Location,Sale,Jakarta utara,40,molshorts,shorts,"Motion Shorts 4"""
