Count,Order ID,Invoice,Payment Date,Order Status,Product ID,Product Name,Quantity,Stock Keeping Unit (SKU),Notes,Price (Rp.),Discount Amount (Rp.),Subsidi Amount (Rp.),Courier,Shipping Price + fee (Rp.),Insurance (Rp.),Total Shipping Fee (Rp.),Total Amount (Rp.),AWB,Jenis Layanan,Bebas Ongkir,Warehouse Origin,Campaign Name,city,user_id
,756600185,INV/20210407/MPL/1155194716,07-04-2021 10:40:51,Pesanan dibatalkan pembeli.,1074068238,"miniletics Feel Free Basic Crop Tank Tank Top Olahraga Wanita - Dark Blue,M",1,FFT_DarkBlue_M,,134000,0,0,AnterAja(Reguler),7500,0,7500,398670,,Bayar di Tempat,Yes,Shop Location,,Jakarta pusat,191
17,756610464,INV/20210407/MPL/1155220461,07-04-2021 10:50:24,"Transaksi selesai..
Dana akan diteruskan ke penjual.",987965983,"miniletics Motion Legging Full 24"" Legging Olahraga Wanita - Purple,S",1,MOLFull_Purple_S,,244500,0,0,SiCepat(Regular Package),12500,0,12500,431500,000491588453,-,Yes,Shop Location,,Gianyar,113
,756610464,INV/20210407/MPL/1155220461,07-04-2021 10:50:24,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1046907628,"miniletics Embrace Bra, with A/B Cup Sports Bra - Cream,S",1,EMB_Cream_S,,174500,0,0,SiCepat(Regular Package),12500,0,12500,431500,000491588453,-,Yes,Shop Location,,Gianyar,113
18,756628284,INV/20210407/MPL/1155265178,07-04-2021 11:07:13,"Transaksi selesai..
Dana akan diteruskan ke penjual.",987965988,"miniletics Motion Legging Full 24"" Legging Olahraga Wanita - Grey,M",1,MOLFull_Grey_M,,244500,0,0,AnterAja(Reguler),7500,0,7500,393570,10001086284412,Bayar di Tempat,Yes,Shop Location,,Jakarta pusat,191
,756628284,INV/20210407/MPL/1155265178,07-04-2021 11:07:13,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1354364250,"miniletics Feel Free Basic Crop Tank Tank Top Olahraga Wanita - Light Grey,M",1,FFT_LightGrey_M,,134000,0,0,AnterAja(Reguler),7500,0,7500,393570,10001086284412,Bayar di Tempat,Yes,Shop Location,,Jakarta pusat,191
19,757198972,INV/20210407/MPL/1156675182,07-04-2021 22:29:28,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1719458693,"miniletics Breezy Tank Tank Top Wanita - Cream, L",1,BRTank_Cream_L,,169500,0,0,AnterAja(Reguler),7500,0,7500,346500,10001088241440,-,,Shop Location,,Jakarta selatan,177
,757198972,INV/20210407/MPL/1156675182,07-04-2021 22:29:28,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1719458690,"miniletics Breezy Tank Tank Top Wanita - Black, L",1,BRTank_Black_L,,169500,0,0,AnterAja(Reguler),7500,0,7500,346500,10001088241440,-,,Shop Location,,Jakarta selatan,177
20,757242441,INV/20210407/MPL/1156784466,07-04-2021 23:57:42,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1338455396,"miniletics Ready Anywhere Crop 22"" Celana Wanita - Black,S",1,RACrop_Black_S,,249500,0,0,AnterAja(Reguler),20000,0,20000,618500,10001088250891,-,Yes,Shop Location,,Bandung,109
,757242441,INV/20210407/MPL/1156784466,07-04-2021 23:57:42,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1270689926,"miniletics Confit Jacket Jaket Olahraga Wanita - Lavender,S",1,CJ_Lavender_S,,349000,0,0,AnterAja(Reguler),20000,0,20000,618500,10001088250891,-,Yes,Shop Location,,Bandung,109
21,757917768,INV/20210408/MPL/1158427541,08-04-2021 16:38:01,"Transaksi selesai..
Dana akan diteruskan ke penjual.",987838454,"miniletics Motion Legging Capri 3/4 19"" Legging Olahraga Wanita - Purple,M",1,MOL34_Purple_M,,234500,0,0,AnterAja(Reguler),7500,0,7500,426500,10001092035819,-,,Shop Location,,Jakarta barat,144
