Product Title,URL,Brand,Seller Name,Marketplace,Seller Type,Location,Sales Quantity,Sales Revenue,,,
Scarlett Whitening Brightly Kit Package,https://shopee.co.id/Scarlett-Whitening-Brightly-Kit-Package-i.255365082.11629863892,Scarlett,Scarlett Whitening Official Shop,Shopee,Official Store,KOTA JAKARTA BARAT,"2,656","Rp74,862,740",2656,Rp74862740,74862740
"La Roche Posay Hyalu Serum Bundle BUY 60ML GET 120ML - FREE GIFTS Senilai Rp 1,680,000",https://shopee.co.id/La-Roche-Posay-Hyalu-Serum-Bundle-BUY-60ML-GET-120ML-FREE-GIFTS-Senilai-Rp-1-680-000-i.433144176.6695949030,La Roche-Posay,La Roche Posay Official Shop,Shopee,Official Store,KOTA JAKARTA UTARA,"2,649","Rp463,575,000",2649,Rp463575000,463575000
Scarlett Whitening Acne Kit Package,https://shopee.co.id/Scarlett-Whitening-Acne-Kit-Package-i.255365082.11629873705,Scarlett,Scarlett Whitening Official Shop,Shopee,Official Store,KOTA JAKARTA BARAT,"2,634","Rp49,502,000",2634,Rp49502000,49502000
Wardah Lightening Serum Ampoule 30 ml - Serum dengan 10X Advanced Niacinamide dan Bisabolol,https://shopee.co.id/Wardah-Lightening-Serum-Ampoule-30-ml-Serum-dengan-10X-Advanced-Niacinamide-dan-Bisabolol-i.59763733.11102025036,Wardah,Wardah Official Shop,Shopee,Official Store,KOTA JAKARTA SELATAN,"2,620","Rp234,834,300",2620,Rp234834300,234834300
L'Oreal Paris Revitalift Hyaluronic Acid Serum Skin Care (Untuk Kulit Lembap Tampak Muda Bercahaya),https://shopee.co.id/L-Oreal-Paris-Revitalift-Hyaluronic-Acid-Serum-Skin-Care-Untuk-Kulit-Lembap-Tampak-Muda-Bercahaya--i.62579622.4847458933,L'Oreal,L'Oreal Paris Indonesia Official Shop,Shopee,Official Store,KOTA JAKARTA UTARA,"2,580","Rp235,837,600",2580,Rp235837600,235837600
Avoskin Your Skin Bae Marine Collagen 10% + Ginseng Root,https://shopee.co.id/Avoskin-Your-Skin-Bae-Marine-Collagen-10-Ginseng-Root-i.154494405.5169177930,Avoskin,Avoskin Official Shop,Shopee,Official Store,KAB. SLEMAN,"2,551","Rp294,640,500",2551,Rp294640500,294640500
SOMETHINC 10% Niacinamide Barrier Serum + FREE BAKUCHIOL 5 ML,https://shopee.co.id/SOMETHINC-10-Niacinamide-Barrier-Serum-i.195455930.6677023326,Somethinc,SOMETHINC Official Shop,Shopee,Official Store,KOTA JAKARTA BARAT,"2,396","Rp121,594,000",2396,Rp121594000,121594000
Avoskin Your Skin Bae Vitamin C 3% + Niacinamide 2% + Mandarin Orange Fruit Extract Serum,https://shopee.co.id/Avoskin-Your-Skin-Bae-Vitamin-C-3-Niacinamide-2-Mandarin-Orange-Fruit-Extract-Serum-i.154494405.8518514302,Avoskin,Avoskin Official Shop,Shopee,Official Store,KAB. SLEMAN,"2,338","Rp109,636,900",2338,Rp109636900,109636900
Erha Truwhite VIT C & Peptides Brightening Serum 20 mL - Serum Pencerah Wajah,https://shopee.co.id/Erha-Truwhite-VIT-C-Peptides-Brightening-Serum-20-mL-Serum-Pencerah-Wajah-i.129153987.3747532781,Erha,Erha Official Store,Shopee,Official Store,KOTA JAKARTA UTARA,"2,289","Rp555,603,620",2289,Rp555603620,555603620
Avoskin Perfect Hydrating Treatment Essence 30ml - Travel Size,https://shopee.co.id/Avoskin-Perfect-Hydrating-Treatment-Essence-30ml-Travel-Size-i.154494405.2898700343,Avoskin,Avoskin Official Shop,Shopee,Official Store,KAB. SLEMAN,"2,263","Rp419,102,300",2263,Rp419102300,419102300
Garnier Light Complete Daily Kit - Krim Pagi dan Malam (Untuk Kulit Cerah Cepat),https://shopee.co.id/Garnier-Light-Complete-Daily-Kit-Krim-Pagi-dan-Malam-Untuk-Kulit-Cerah-Cepat--i.62583853.3732810439,Garnier,Garnier Indonesia Official Shop,Shopee,Official Store,KOTA JAKARTA UTARA,"2,252","Rp132,106,100",2252,Rp132106100,132106100
Bening's Ultimate Serum,https://shopee.co.id/Bening-s-Ultimate-Serum-i.190390143.4702968571,Bening'S,Bening's Official Shop,Shopee,Official Store,KOTA JAMBI,"2,200","Rp201,187,060",2200,Rp201187060,201187060
MS glow ACNE Serum,https://shopee.co.id/MS-glow-ACNE-Serum-i.17566419.1192483406,Ms Glow,MS Glow Indonesia Official Shop,Shopee,Official Store,KOTA JAKARTA SELATAN,"2,190","Rp154,138,140",2190,Rp154138140,154138140
Garnier Sakura White Hyaluron 30x Booster Serum Skin Care-30 ml x 2 pcs (Kulit Glowing Dalam 7 Hari),https://shopee.co.id/Garnier-Sakura-White-Hyaluron-30x-Booster-Serum-Skin-Care-30-ml-x-2-pcs-Kulit-Glowing-Dalam-7-Hari--i.62583853.6538434960,Garnier,Garnier Indonesia Official Shop,Shopee,Official Store,KOTA JAKARTA UTARA,"2,149","Rp251,433,000",2149,Rp251433000,251433000
Nutrishe Intensive Bright & Glow Serum,https://shopee.co.id/Nutrishe-Intensive-Bright-Glow-Serum-i.593789.4546230356,Nutrishe,NUTRISHE Official Shop,Shopee,Official Store,KAB. SLEMAN,"2,130","Rp101,971,625",2130,Rp101971625,101971625
Garnier Bright Complete Vitamin C 30x Booster Serum Skin Care ( Cepat Cerahkan Noda Hitam ):15 ml	,https://shopee.co.id/Garnier-Bright-Complete-Vitamin-C-30x-Booster-Serum-Skin-Care-Cepat-Cerahkan-Noda-Hitam-15-ml--i.62583853.7015652399,Garnier,Garnier Indonesia Official Shop,Shopee,Official Store,KOTA JAKARTA UTARA,"2,121","Rp294,819,000",2121,Rp294819000,294819000
ElsheSkin Radiant Skin Serum,https://shopee.co.id/ElsheSkin-Radiant-Skin-Serum-i.9035345.787533497,ElsheSkin,ElsheSkin Official Shop,Shopee,Official Store,KOTA TANGERANG SELATAN,"2,117","Rp294,263,000",2117,Rp294263000,294263000
Garnier Sakura White Daily Kit - Krim Pagi dan Malam (Untuk Kulit Cerah Merona),https://shopee.co.id/Garnier-Sakura-White-Daily-Kit-Krim-Pagi-dan-Malam-Untuk-Kulit-Cerah-Merona--i.62583853.3932809781,Garnier,Garnier Indonesia Official Shop,Shopee,Official Store,KOTA JAKARTA UTARA,"2,065","Rp282,719,000",2065,Rp282719000,282719000
Garnier Sakura White Hyaluron 30x Booster Serum Skin Care - 30 ml [Untuk Kulit Glowing Dalam 7 Hari],https://shopee.co.id/Garnier-Sakura-White-Hyaluron-30x-Booster-Serum-Skin-Care-30-ml-Untuk-Kulit-Glowing-Dalam-7-Hari--i.62583853.3723054486,Garnier,Garnier Indonesia Official Shop,Shopee,Official Store,KOTA JAKARTA UTARA,"2,038","Rp376,361,800",2038,Rp376361800,376361800
L’Oreal Paris White Perfect Clinical Essence (Vit C Serum / Niacinamide) Skin Care – 30 ml,https://shopee.co.id/L-Oreal-Paris-White-Perfect-Clinical-Essence-Vit-C-Serum-Niacinamide-Skin-Care-30-ml-i.62579622.1022738994,L'Oreal,L'Oreal Paris Indonesia Official Shop,Shopee,Official Store,KOTA JAKARTA UTARA,"2,013","Rp272,865,000",2013,Rp272865000,272865000
Emina Bright Stuff Face Serum 30 ml - Serum Wajah Cerah Glowing,https://shopee.co.id/Emina-Bright-Stuff-Face-Serum-30-ml-i.63983008.3017944185,Emina,Emina Official Shop,Shopee,Official Store,KOTA JAKARTA SELATAN,"2,005","Rp346,369,105",2005,Rp346369105,346369105
