,No_Pesanan,Status_Pesanan,Status_Pembatalan_Atau_Pengembalian,No_Resi,Opsi_Pengiriman,Antar_Counter_Atau_Pick-Up,Batas_Waktu_Pengiriman,Waktu_Pengiriman_Diatur,Waktu_Pesanan_Dibuat,Waktu_Pembayaran_Dilakukan,SKU_Induk,Nama_Produk,Nomor_Referensi_SKU,Nama_Variasi,Harga_Awal,Harga_Setelah_Diskon,Jumlah,Total_Harga_Produk,Total_Diskon,Diskon_Dari_Penjual,Diskon_Dari_Shopee,Berat_Produk,Jumlah_Produk_Di_Pesan,Total_Berat,Voucher_Ditanggung_Penjual,Cashback_Koin,Voucher_Ditanggung_Shopee,Paket_Diskon,Paket_Diskon_Shopee,Paket_Diskon_Penjual,Potongan_Koin_Shopee,Diskon_Kartu_Kredit,Ongkos_Kirim_Dibayar_Oleh_Pembeli,Total_Pembayaran,Perkiraan_Ongkos_Kirim,Catatan_Dari_Pembeli,Catatan,City,User_Id,Category,Full Name
10,21030189ME3UFQ,Selesai,Pengembalian,10000943190716,Anteraja,Pickup,2021-03-03 15:07:00,2021-03-02 15:04:00,2021-03-01 15:07:00,2021-03-01 15:07:00,embhigh,"miniletics Sports Bra Embrace Bra High Neck, with A/B cup",EMBHigh_White_M,"White,M",174500.0,174500.0,1,174500.0,0.0,0.0,0.0,300,1,300,0.0,0.0,0.0,N,0.0,0.0,0,0.0,0.0,174500.0,7500.0,Tidak ada,Tidak ada,Tangerang Selatan,88,sports bra,Embrace Bra High Neck Support with A/B Cup
11,2103018C7MQ1QC,Selesai,Permintaan Dibatalkan,10000944600351,Anteraja,Pickup,2021-03-03 15:55:00,2021-03-02 15:28:00,2021-03-01 15:53:00,2021-03-01 15:55:00,pwrhigh,"miniletics Sports Bra Power High Neck Bra, with A/B cup",PWRHigh_Magenta_M,"Magenta,M",174500.0,174500.0,1,174500.0,0.0,0.0,0.0,300,2,600,0.0,0.0,0.0,N,0.0,0.0,0,0.0,7500.0,426662.0,7500.0,Tidak ada,Tidak ada,Semarang,13,sports bra,"Power High Neck Bra, Support with A/B bra cup"
12,2103018C7MQ1QC,Selesai,Permintaan Dibatalkan,10000944600351,Anteraja,Pickup,2021-03-03 15:55:00,2021-03-02 15:28:00,2021-03-01 15:53:00,2021-03-01 15:55:00,molfull,miniletics Legging Olahraga Wanita Motion Legging Full,MOLFull_MauvePink_L,"Mauve Pink,L",244500.0,244500.0,1,244500.0,0.0,0.0,0.0,300,2,600,0.0,0.0,0.0,N,0.0,0.0,0,0.0,7500.0,426662.0,7500.0,Tidak ada,Tidak ada,Semarang,13,legging,Motion Legging Full
13,21030185BY3R1Y,Selesai,Pengembalian,JP4217292273,J&T Express,Pickup,2021-03-03 13:52:00,2021-03-02 16:30:00,2021-03-01 13:50:00,2021-03-01 13:52:00,embhigh,"miniletics Sports Bra Embrace Bra High Neck, with A/B cup",EMBHigh_Periwinkle_L,"Periwinkle,L",174500.0,174500.0,1,174500.0,0.0,0.0,0.0,300,1,300,0.0,0.0,0.0,N,0.0,0.0,0,0.0,0.0,175000.0,21500.0,Tidak ada,Tidak ada,Bengkulu,173,sports bra,Embrace Bra High Neck Support with A/B Cup
14,210303DRWRJB2E,Selesai,Pengembalian,10000953157783,Anteraja,Pickup,2021-03-08 21:54:00,2021-03-04 15:41:00,2021-03-03 19:24:00,2021-03-03 21:54:00,pwrhigh,"miniletics Sports Bra Power High Neck Bra, with A/B cup",PWRHigh_Magenta_S,"Magenta,S",174500.0,174500.0,1,174500.0,0.0,0.0,0.0,300,1,300,0.0,0.0,0.0,N,0.0,0.0,0,0.0,7500.0,182500.0,7500.0,Tidak ada,Tidak ada,Jakarta Barat,101,sports bra,"Power High Neck Bra, Support with A/B bra cup"
15,210309VNAMBU71,Selesai,Pengembalian,JP5351047288,J&T Express,Pickup,2021-03-12 17:33:00,2021-03-10 16:17:00,2021-03-09 17:29:00,2021-03-09 17:33:00,embhigh,"miniletics Sports Bra Embrace Bra High Neck, with A/B cup",EMBHigh_Periwinkle_M,"Periwinkle,M",174500.0,174500.0,1,174500.0,0.0,0.0,0.0,300,3,900,7500.0,0.0,0.0,N,0.0,0.0,0,0.0,7500.0,452796.0,7500.0,Tidak ada,Tidak ada,Jakarta Selatan,249,sports bra,Embrace Bra High Neck Support with A/B Cup
16,210309VNAMBU71,Selesai,Pengembalian,JP5351047288,J&T Express,Pickup,2021-03-12 17:33:00,2021-03-10 16:17:00,2021-03-09 17:29:00,2021-03-09 17:33:00,ct,miniletics Tank Top Olahraga Wanita ClariTy Tank,CT_White_M,"White,M",139000.0,139000.0,1,139000.0,0.0,0.0,0.0,300,3,900,7500.0,0.0,0.0,N,0.0,0.0,0,0.0,7500.0,452796.0,7500.0,Tidak ada,Tidak ada,Jakarta Selatan,249,tank top,Clarity Tank
17,210309VNAMBU71,Selesai,Pengembalian,JP5351047288,J&T Express,Pickup,2021-03-12 17:33:00,2021-03-10 16:17:00,2021-03-09 17:29:00,2021-03-09 17:33:00,ct,miniletics Tank Top Olahraga Wanita ClariTy Tank,CT_Black_M,"Black,M",139000.0,139000.0,1,139000.0,0.0,0.0,0.0,300,3,900,7500.0,0.0,0.0,N,0.0,0.0,0,0.0,7500.0,452796.0,7500.0,Tidak ada,Tidak ada,Jakarta Selatan,249,tank top,Clarity Tank
18,21031148FXER9F,Selesai,Pengembalian,10000983453112,Anteraja,Pickup,2021-03-15 14:23:00,2021-03-12 15:09:00,2021-03-11 14:22:00,2021-03-11 14:23:00,tst,miniletics Baju Olahraga Wanita Tank Top Tie It Strong Tank,TST_White_M,"White,M",144000.0,144000.0,1,144000.0,0.0,0.0,0.0,300,2,600,0.0,0.0,0.0,N,0.0,0.0,0,0.0,7500.0,332234.0,7500.0,Tidak ada,Tidak ada,Jakarta Utara,31,tank top,Tie It Strong Tank
19,21031148FXER9F,Selesai,Pengembalian,10000983453112,Anteraja,Pickup,2021-03-15 14:23:00,2021-03-12 15:09:00,2021-03-11 14:22:00,2021-03-11 14:23:00,alb,"miniletics Sports Bra Alleviate Bra, with A/B bra cup",ALB_White_M,"White,M",169500.0,169500.0,1,169500.0,0.0,0.0,0.0,300,2,600,0.0,0.0,0.0,N,0.0,0.0,0,0.0,7500.0,332234.0,7500.0,Tidak ada,Tidak ada,Jakarta Utara,31,sports bra,"Alleviate Bra, Support with A/B bra cup"
