,No_Pesanan,Status_Pesanan,Status_Pembatalan_Atau_Pengembalian,No_Resi,Opsi_Pengiriman,Antar_Counter_Atau_Pick-Up,Batas_Waktu_Pengiriman,Waktu_Pengiriman_Diatur,Waktu_Pesanan_Dibuat,Waktu_Pembayaran_Dilakukan,SKU_Induk,Nama_Produk,Nomor_Referensi_SKU,Nama_Variasi,Harga_Awal,Harga_Setelah_Diskon,Jumlah,Total_Harga_Produk,Total_Diskon,Diskon_Dari_Penjual,Diskon_Dari_Shopee,Berat_Produk,Jumlah_Produk_Di_Pesan,Total_Berat,Voucher_Ditanggung_Penjual,Cashback_Koin,Voucher_Ditanggung_Shopee,Paket_Diskon,Paket_Diskon_Shopee,Paket_Diskon_Penjual,Potongan_Koin_Shopee,Diskon_Kartu_Kredit,Ongkos_Kirim_Dibayar_Oleh_Pembeli,Total_Pembayaran,Perkiraan_Ongkos_Kirim,Catatan_Dari_Pembeli,Catatan,City,User_Id,Category,Full Name
45,2104058V0QH7RC,Selesai,Pengembalian,002517628336,"Reguler
SiCepat REG",Pickup,2021-04-08 14:19:00,2021-04-05 15:44:00,2021-04-05 13:56:00,2021-04-05 14:19:00,tst,miniletics Tie It Strong Tank Baju Olahraga Wanita Tank Top,TST_Black_S,"Black,S",144000.0,144000.0,1,144000.0,0.0,0.0,0.0,300,3,900,7500.0,0.0,0.0,N,0.0,0.0,31123,0.0,5000.0,362738.0,15000.0,Tidak ada,Tidak ada,Jakarta Barat,101,tank top,Tie It Strong Tank
46,2104058VHR13B8,Selesai,Pengembalian,JP0731135638,"Reguler
J&T Express",Pickup,2021-04-08 14:07:00,2021-04-05 19:26:00,2021-04-05 14:05:00,2021-04-05 14:07:00,slfull,"miniletics  Swift Legging 23"" Legging Olahraga Wanita",SLfull_Black_S,"Black,S",249500.0,243544.0,1,243544.0,5954.0,5954.0,0.0,300,2,600,7500.0,0.0,0.0,Y,0.0,10000.0,15000,0.0,0.0,394500.0,3500.0,Tidak ada,Tidak ada,Surabaya,60,legging,Swift Legging Full
47,2104058VHR13B8,Selesai,Pengembalian,JP0731135638,"Reguler
J&T Express",Pickup,2021-04-08 14:07:00,2021-04-05 19:26:00,2021-04-05 14:05:00,2021-04-05 14:07:00,ffb,"miniletics Feel Free Bra, with A/B cup Sports Bra",FFB_Black_S,"Black,S",169500.0,165454.0,1,165454.0,4044.0,4044.0,0.0,300,2,600,7500.0,0.0,0.0,Y,0.0,10000.0,15000,0.0,0.0,394500.0,3500.0,Tidak ada,Tidak ada,Surabaya,60,sports bra,Feel Free Bra Support with A/B bra cup
48,2104058SWSCJEU,Selesai,Pengembalian,002517533433,"Reguler
SiCepat REG",Pickup,2021-04-08 13:18:00,2021-04-05 17:06:00,2021-04-05 13:18:00,2021-04-05 13:18:00,fft,"miniletics Feel Free Basic Crop Tank, Light Support with A/B cup Tank Top Olahraga Wanita",FFT_LightGrey_L,"Light Grey,L",134000.0,113900.0,1,113900.0,20100.0,20100.0,0.0,300,1,300,5694.0,0.0,0.0,N,0.0,0.0,9776,0.0,0.0,103316.0,7500.0,Tidak ada,Tidak ada,Semarang,216,tank top,Feel Free Basic Crop Tank
49,210402VWJK8BHC,Selesai,Pengembalian,JP5537677537,"Reguler
J&T Express",Pickup,2021-04-06 23:32:00,2021-04-03 14:01:00,2021-04-01 23:30:00,2021-04-01 23:32:00,molfull,"miniletics Motion Legging Full 24"" Legging Olahraga Wanita",MOLFull_MauvePink_L,"Mauve Pink,L",244500.0,238992.0,1,238992.0,5506.0,5506.0,0.0,300,2,600,0.0,0.0,0.0,Y,0.0,10000.0,607,0.0,0.0,434196.0,10000.0,Tidak ada,Tidak ada,Cimahi,55,legging,Motion Legging Full
50,210402VWJK8BHC,Selesai,Pengembalian,JP5537677537,"Reguler
J&T Express",Pickup,2021-04-06 23:32:00,2021-04-03 14:01:00,2021-04-01 23:30:00,2021-04-01 23:32:00,nmt,"miniletics Notice Mi 2 in 1 Tank, A/B cup Tank Top Olahraga Wanita",NMT_White_L,"White,L",199500.0,195006.0,1,195006.0,4492.0,4492.0,0.0,300,2,600,0.0,0.0,0.0,Y,0.0,10000.0,607,0.0,0.0,434196.0,10000.0,Tidak ada,Tidak ada,Cimahi,55,tank top,Notice Mi 2-in-1 Tank Medium Support with A/B Cup
51,2104020QFYJ0Y5,Selesai,Pengembalian,002515681348,"Reguler
SiCepat REG",Pickup,2021-04-06 08:16:00,2021-04-03 12:56:00,2021-04-02 08:13:00,2021-04-02 08:16:00,racrop,"miniletics Ready Anywhere Crop 22"" Celana Wanita",RACrop_AlabasterCream_M,"Alabaster Cream,M",249500.0,249500.0,1,249500.0,0.0,0.0,0.0,300,1,300,7500.0,0.0,0.0,N,0.0,0.0,0,0.0,0.0,242500.0,9000.0,Tidak ada,Tidak ada,Tangerang Selatan,125,pants,Ready Anywhere Crop
52,21040581HWS4HE,Selesai,Pengembalian,002517228501,"Reguler
SiCepat REG",Pickup,2021-04-08 06:02:00,2021-04-05 15:29:00,2021-04-05 06:02:00,2021-04-05 06:02:00,pwrhigh,"miniletics Power High Neck Bra, with A/B cup Sports Bra",PWRHigh_Black_S,"Black,S",174500.0,174500.0,1,174500.0,0.0,0.0,0.0,300,1,300,0.0,0.0,0.0,N,0.0,0.0,0,0.0,3500.0,178000.0,3500.0,"Size small, tolong diproses yg cepat,dicek terlebih dahulu spy tdk ada yg robek,rusak,kotor,cacat,jahitannya pastikan semua rapi,dipacking yg rapi spy tdk robek,kotor,rusak,cacat",Tidak ada,Surabaya,167,sports bra,"Power High Neck Bra, Support with A/B bra cup"
53,2104058UYJ66QX,Selesai,Pengembalian,JP3589597397,"Reguler
J&T Express",Pickup,2021-04-08 13:55:00,2021-04-05 19:28:00,2021-04-05 13:55:00,2021-04-05 13:55:00,molshorts,"miniletics Motion Shorts 6"" Celana Olahraga Wanita",MOLShorts_Maroon_S,"Maroon,S",174500.0,169352.0,1,169352.0,5146.0,5146.0,0.0,300,4,1200,25000.0,0.0,0.0,Y,0.0,10000.0,43598,0.0,0.0,510000.0,15000.0,Tidak ada,Tidak ada,Jakarta Utara,81,shorts,"Motion Shorts 4"""
54,2104058UYJ66QX,Selesai,Pengembalian,JP3589597397,"Reguler
J&T Express",Pickup,2021-04-08 13:55:00,2021-04-05 19:28:00,2021-04-05 13:55:00,2021-04-05 13:55:00,sprshorts,miniletics  Sprint Shorts Celana Olahraga Wanita,SPRShorts_White_S,"Black,S",164500.0,159646.0,1,159646.0,4852.0,4852.0,0.0,300,4,1200,25000.0,0.0,0.0,Y,0.0,10000.0,43598,0.0,0.0,510000.0,15000.0,Tidak ada,Tidak ada,Jakarta Utara,81,shorts,Sprint Shorts
55,2104058UYJ66QX,Selesai,Pengembalian,JP3589597397,"Reguler
J&T Express",Pickup,2021-04-08 13:55:00,2021-04-05 19:28:00,2021-04-05 13:55:00,2021-04-05 13:55:00,fft,"miniletics Feel Free Basic Crop Tank, Light Support with A/B cup Tank Top Olahraga Wanita",FFT_Clay_M,"Clay,M",134000.0,113900.0,1,113900.0,20100.0,20100.0,0.0,300,4,1200,25000.0,0.0,0.0,N,0.0,10000.0,43598,0.0,0.0,510000.0,15000.0,Tidak ada,Tidak ada,Jakarta Utara,81,tank top,Feel Free Basic Crop Tank
56,2104058UYJ66QX,Selesai,Pengembalian,JP3589597397,"Reguler
J&T Express",Pickup,2021-04-08 13:55:00,2021-04-05 19:28:00,2021-04-05 13:55:00,2021-04-05 13:55:00,fft,"miniletics Feel Free Basic Crop Tank, Light Support with A/B cup Tank Top Olahraga Wanita",FFT_DarkBlue_M,"Dark Blue,M",134000.0,113900.0,1,113900.0,20100.0,20100.0,0.0,300,4,1200,25000.0,0.0,0.0,N,0.0,10000.0,43598,0.0,0.0,510000.0,15000.0,Tidak ada,Tidak ada,Jakarta Utara,81,tank top,Feel Free Basic Crop Tank
57,210413VMT3CTUA,Selesai,Pengembalian,JP8764539836,"Reguler
J&T Express",Pickup,2021-04-15 14:09:00,2021-04-13 16:12:00,2021-04-13 10:40:00,2021-04-13 14:09:00,emb,miniletics Embrace Bra (support with A/B bra cup) Sports Bra Wanita,EMB_Black_M,"Black,M",174500.0,174500.0,1,174500.0,0.0,0.0,0.0,300,1,300,0.0,0.0,0.0,N,0.0,0.0,0,0.0,7500.0,182218.0,7500.0,Tidak ada,Tidak ada,Jakarta Barat,115,sports bra,"Embrace Bra, Support with A/B bra cup"
58,210413VXPWSJRM,Selesai,Pengembalian,JP4415121068,"Reguler
J&T Express",Pickup,2021-04-15 13:37:00,2021-04-13 16:12:00,2021-04-13 13:37:00,2021-04-13 13:37:00,pwrhigh,"miniletics Power High Neck Bra, with A/B cup Sports Bra",PWRHigh_Magenta_M,"Magenta,M",174500.0,174500.0,1,174500.0,0.0,0.0,0.0,300,2,600,7500.0,0.0,0.0,N,0.0,0.0,500,0.0,2000.0,376574.0,27000.0,Tidak ada,Tidak ada,Tarakan,238,sports bra,"Power High Neck Bra, Support with A/B bra cup"
59,210413VXPWSJRM,Selesai,Pengembalian,JP4415121068,"Reguler
J&T Express",Pickup,2021-04-15 13:37:00,2021-04-13 16:12:00,2021-04-13 13:37:00,2021-04-13 13:37:00,molfull,"miniletics Motion Legging Full 24"" Legging Olahraga Wanita",MOLFull_MauvePink_M,"Mauve Pink,M",244500.0,207824.0,1,207824.0,36674.0,36674.0,0.0,300,2,600,7500.0,0.0,0.0,N,0.0,0.0,500,0.0,2000.0,376574.0,27000.0,Tidak ada,Tidak ada,Tarakan,238,legging,Motion Legging Full
60,210407CUT4TK01,Selesai,Pengembalian,002518572932,"Reguler
SiCepat REG",Pickup,2021-04-09 04:03:00,2021-04-07 19:21:00,2021-04-07 04:03:00,2021-04-07 04:03:00,fft,"miniletics Feel Free Basic Crop Tank, Light Support with A/B cup Tank Top Olahraga Wanita",FFT_White_M,"White,M",134000.0,134000.0,1,134000.0,0.0,0.0,0.0,300,1,300,6700.0,0.0,0.0,N,0.0,0.0,0,0.0,17000.0,144386.0,17000.0,Tidak ada,Tidak ada,Batam,72,tank top,Feel Free Basic Crop Tank
61,210413VVVTYBWH,Selesai,Pengembalian,10001108512615,"Reguler
Anteraja",Pickup,2021-04-15 13:05:00,2021-04-13 14:40:00,2021-04-13 13:05:00,2021-04-13 13:05:00,alb,"miniletics Alleviate Bra, with A/B bra cup Sports Bra",ALB_White_S,"White,S",169500.0,144074.0,1,144074.0,25424.0,25424.0,0.0,300,1,300,0.0,0.0,0.0,N,0.0,0.0,7500,0.0,0.0,140324.0,9000.0,Tidak ada,Tidak ada,Tangerang,182,sports bra,"Alleviate Bra, Support with A/B bra cup"
62,2104179MYMU901,Selesai,Pengembalian,002522948156,"Reguler
SiCepat REG",Pickup,2021-04-20 11:22:00,2021-04-19 15:32:00,2021-04-17 11:09:00,2021-04-17 11:22:00,fft,"miniletics Feel Free Basic Crop Tank, Light Support with A/B cup Tank Top Olahraga Wanita",FFT_White_M,"White,M",134000.0,129000.0,1,129000.0,5000.0,5000.0,0.0,300,2,600,0.0,0.0,0.0,Y,0.0,10000.0,0,0.0,0.0,258500.0,9000.0,Tolong dikirim produk dlm keadaan baik ya. Terimakasih.,Tidak ada,Bekasi,70,tank top,Feel Free Basic Crop Tank
63,2104179MYMU901,Selesai,Pengembalian,002522948156,"Reguler
SiCepat REG",Pickup,2021-04-20 11:22:00,2021-04-19 15:32:00,2021-04-17 11:09:00,2021-04-17 11:22:00,fft,"miniletics Feel Free Basic Crop Tank, Light Support with A/B cup Tank Top Olahraga Wanita",FFT_CherryPink_M,"Cherry Pink,M",134000.0,129000.0,1,129000.0,5000.0,5000.0,0.0,300,2,600,0.0,0.0,0.0,Y,0.0,10000.0,0,0.0,0.0,258500.0,9000.0,Tolong dikirim produk dlm keadaan baik ya. Terimakasih.,Tidak ada,Bekasi,70,tank top,Feel Free Basic Crop Tank
64,210413VW0M9BGW,Selesai,Pengembalian,10001108512372,"Reguler
Anteraja",Pickup,2021-04-15 13:25:00,2021-04-13 15:08:00,2021-04-13 13:07:00,2021-04-13 13:25:00,molfull,"miniletics Motion Legging Full 24"" Legging Olahraga Wanita",MOLFull_MauvePink_M,"Mauve Pink,M",244500.0,207824.0,1,207824.0,36674.0,36674.0,0.0,300,1,300,7500.0,0.0,0.0,N,0.0,0.0,714,0.0,0.0,200468.0,9000.0,Tidak ada,Tidak ada,Bekasi,5,legging,Motion Legging Full
65,2104142UPRHT4X,Selesai,Pengembalian,002521454234,"Reguler
SiCepat REG",Pickup,2021-04-16 18:24:00,2021-04-15 15:20:00,2021-04-14 18:21:00,2021-04-14 18:24:00,alb,"miniletics Alleviate Bra, with A/B bra cup Sports Bra",ALB_White_M,"White,M",169500.0,163914.0,1,163914.0,5584.0,5584.0,0.0,300,2,600,0.0,0.0,0.0,Y,0.0,10000.0,0,0.0,0.0,294000.0,10000.0,Tidak ada,Tidak ada,Badung,65,sports bra,"Alleviate Bra, Support with A/B bra cup"
66,2104142UPRHT4X,Selesai,Pengembalian,002521454234,"Reguler
SiCepat REG",Pickup,2021-04-16 18:24:00,2021-04-15 15:20:00,2021-04-14 18:21:00,2021-04-14 18:24:00,fft,"miniletics Feel Free Basic Crop Tank, Light Support with A/B cup Tank Top Olahraga Wanita",FFT_Blue_M,"Blue,M",134000.0,129584.0,1,129584.0,4414.0,4414.0,0.0,300,2,600,0.0,0.0,0.0,Y,0.0,10000.0,0,0.0,0.0,294000.0,10000.0,Tidak ada,Tidak ada,Badung,65,tank top,Feel Free Basic Crop Tank
67,21042632BC394U,Selesai,Pengembalian,IN-2-0IUPCRH3H1KA1YR28FZ4,"Instant
GrabExpress Instant",Pickup,2021-04-29 10:06:00,2021-04-26 14:58:00,2021-04-26 10:06:00,2021-04-26 10:06:00,alb,"miniletics Alleviate Bra, with A/B bra cup Sports Bra",ALB_White_S,"White,S",169500.0,152550.0,1,152550.0,16950.0,16950.0,0.0,300,1,300,0.0,0.0,0.0,N,0.0,0.0,0,0.0,0.0,152550.0,13000.0,Tidak ada,Tidak ada,Surabaya,47,sports bra,"Alleviate Bra, Support with A/B bra cup"
68,2104251V3R1PEP,Selesai,Pengembalian,JP8201185420,"Reguler
J&T Express",Pickup,2021-04-29 22:45:00,2021-04-26 18:23:00,2021-04-25 22:42:00,2021-04-25 22:45:00,racrop,"miniletics Ready Anywhere Crop 22"" Celana Wanita",RACrop_LavenderGrey_M,"Lavender Grey,M",249500.0,218664.0,1,218664.0,30834.0,30834.0,0.0,300,2,600,0.0,0.0,0.0,Y,0.0,10000.0,0,0.0,0.0,371600.0,7500.0,Tidak ada,Tidak ada,Jakarta Selatan,35,pants,Ready Anywhere Crop
69,2104251V3R1PEP,Selesai,Pengembalian,JP8201185420,"Reguler
J&T Express",Pickup,2021-04-29 22:45:00,2021-04-26 18:23:00,2021-04-25 22:42:00,2021-04-25 22:45:00,pwrhigh,"miniletics Power High Neck Bra, with A/B cup Sports Bra",PWRHigh_Magenta_S,"Magenta,S",174500.0,152934.0,1,152934.0,21564.0,21564.0,0.0,300,2,600,0.0,0.0,0.0,Y,0.0,10000.0,0,0.0,0.0,371600.0,7500.0,Tidak ada,Tidak ada,Jakarta Selatan,35,sports bra,"Power High Neck Bra, Support with A/B bra cup"
